,dataset,isClassification,k,method,accuracy,precision,recall,RMSE,NRMSE
0,abalone,TRUE,3,KNN,0.246889952,0.247126437,0.016126008,0,
1,abalone,TRUE,3,E-NN,0.24784689,0.24784689,0.016208774,0,
2,abalone,TRUE,5,KNN,0.251674641,0.251674641,0.01653776,0,
3,abalone,TRUE,5,E-NN,0.26507177,0.26507177,0.017714395,0,
4,abalone,TRUE,7,KNN,0.270813397,0.270813397,0.017377955,0,
5,abalone,TRUE,7,E-NN,0.261244019,0.261244019,0.01656051,0,
6,car,TRUE,3,KNN,0.958333333,0.958333333,0.884615384,0,
7,car,TRUE,3,E-NN,0.909722222,0.909722222,0.770588235,0,
8,car,TRUE,5,KNN,0.9375,0.9375,0.833333333,0,
9,car,TRUE,5,E-NN,0.898148148,0.898148148,0.746153846,0,
10,car,TRUE,7,KNN,0.905092592,0.905092592,0.760700389,0,
11,car,TRUE,7,E-NN,0.847222222,0.847222222,0.64893617,0,
12,segmentation,TRUE,3,KNN,0.811320754,0.811320754,0.417475728,0,
13,segmentation,TRUE,3,E-NN,0.811320754,0.811320754,0.417475728,0,
14,segmentation,TRUE,5,KNN,0.773584905,0.773584905,0.362831859,0,
15,segmentation,TRUE,5,E-NN,0.679245283,0.679245282,0.260869566,0,
16,segmentation,TRUE,7,KNN,0.849056603,0.849056602,0.483870968,0,
17,segmentation,TRUE,7,E-NN,0.754716981,0.75471698,0.338983051,0,
18,machine,FALSE,3,KNN,0,0,0,98.0933816,
19,machine,FALSE,5,KNN,0,0,0,102.0231634,
20,machine,FALSE,7,KNN,0,0,0,150.0520702,
21,forestfires,FALSE,3,KNN,0,0,0,67.47710335,
22,forestfires,FALSE,5,KNN,0,0,0,33.28533265,
23,forestfires,FALSE,7,KNN,0,0,0,69.49432404,
24,winequality-red,FALSE,3,KNN,0,0,0,0.749387505,
25,winequality-red,FALSE,5,KNN,0,0,0,0.685520252,
26,winequality-red,FALSE,7,KNN,0,0,0,0.709244396,
27,winequality-white,FALSE,3,KNN,0,0,0,0.814569538,
28,winequality-white,FALSE,5,KNN,0,0,0,0.815121053,
29,winequality-white,FALSE,7,KNN,0,0,0,0.830677945,
